TEAM_ABBR,PACE,SEASON,SEASON_TYPE
ATL,101.56,2022-23,Regular Season
BOS,99.15,2022-23,Regular Season
BKN,98.77,2022-23,Regular Season
CHA,101.47,2022-23,Regular Season
CHI,99.18,2022-23,Regular Season
CLE,96.27,2022-23,Regular Season
DAL,97.21,2022-23,Regular Season
DEN,98.74,2022-23,Regular Season
DET,99.88,2022-23,Regular Season
GSW,102.54,2022-23,Regular Season
HOU,99.74,2022-23,Regular Season
IND,101.68,2022-23,Regular Season
,98.84,2022-23,Regular Season
LAL,101.92,2022-23,Regular Season
MEM,101.5,2022-23,Regular Season
MIA,96.76,2022-23,Regular Season
MIL,101.45,2022-23,Regular Season
MIN,101.55,2022-23,Regular Season
NOP,99.58,2022-23,Regular Season
NYK,97.75,2022-23,Regular Season
OKC,101.94,2022-23,Regular Season
ORL,99.66,2022-23,Regular Season
PHI,97.44,2022-23,Regular Season
PHX,98.83,2022-23,Regular Season
POR,99.25,2022-23,Regular Season
SAC,100.99,2022-23,Regular Season
SAS,102.07,2022-23,Regular Season
TOR,97.85,2022-23,Regular Season
UTA,101.02,2022-23,Regular Season
WAS,99.16,2022-23,Regular Season
ATL,101.67,2022-23,Playoffs
BOS,95.83,2022-23,Playoffs
BKN,90.5,2022-23,Playoffs
CLE,92.6,2022-23,Playoffs
DEN,95.18,2022-23,Playoffs
GSW,101.92,2022-23,Playoffs
,99.5,2022-23,Playoffs
LAL,99.04,2022-23,Playoffs
MEM,100.18,2022-23,Playoffs
MIA,94.87,2022-23,Playoffs
MIL,101.98,2022-23,Playoffs
MIN,94.82,2022-23,Playoffs
NYK,92.73,2022-23,Playoffs
PHI,92.08,2022-23,Playoffs
PHX,98.41,2022-23,Playoffs
SAC,103.93,2022-23,Playoffs
ATL,100.84,2023-24,Regular Season
BOS,97.98,2023-24,Regular Season
BKN,97.56,2023-24,Regular Season
CHA,97.81,2023-24,Regular Season
CHI,96.94,2023-24,Regular Season
CLE,97.62,2023-24,Regular Season
DAL,100.6,2023-24,Regular Season
DEN,97.43,2023-24,Regular Season
DET,100.45,2023-24,Regular Season
GSW,99.91,2023-24,Regular Season
HOU,99.59,2023-24,Regular Season
IND,102.16,2023-24,Regular Season
,97.93,2023-24,Regular Season
LAL,101.38,2023-24,Regular Season
MEM,98.68,2023-24,Regular Season
MIA,96.88,2023-24,Regular Season
MIL,100.51,2023-24,Regular Season
MIN,97.79,2023-24,Regular Season
NOP,98.7,2023-24,Regular Season
NYK,95.96,2023-24,Regular Season
OKC,100.85,2023-24,Regular Season
ORL,97.37,2023-24,Regular Season
PHI,98.17,2023-24,Regular Season
PHX,99.0,2023-24,Regular Season
POR,97.88,2023-24,Regular Season
SAC,99.46,2023-24,Regular Season
SAS,101.8,2023-24,Regular Season
TOR,99.91,2023-24,Regular Season
UTA,100.26,2023-24,Regular Season
WAS,103.07,2023-24,Regular Season
BOS,92.6,2023-24,Playoffs
CLE,93.5,2023-24,Playoffs
DAL,93.48,2023-24,Playoffs
DEN,93.67,2023-24,Playoffs
IND,93.76,2023-24,Playoffs
,92.0,2023-24,Playoffs
LAL,96.4,2023-24,Playoffs
MIA,91.6,2023-24,Playoffs
MIL,92.89,2023-24,Playoffs
MIN,93.38,2023-24,Playoffs
NOP,95.88,2023-24,Playoffs
NYK,92.22,2023-24,Playoffs
OKC,95.2,2023-24,Playoffs
ORL,95.71,2023-24,Playoffs
PHI,91.09,2023-24,Playoffs
PHX,95.25,2023-24,Playoffs
ATL,103.41,2024-25,Regular Season
BOS,96.59,2024-25,Regular Season
BKN,96.73,2024-25,Regular Season
CHA,98.22,2024-25,Regular Season
CHI,103.61,2024-25,Regular Season
CLE,100.31,2024-25,Regular Season
DAL,100.15,2024-25,Regular Season
DEN,100.67,2024-25,Regular Season
DET,100.27,2024-25,Regular Season
GSW,99.37,2024-25,Regular Season
HOU,99.03,2024-25,Regular Season
IND,100.76,2024-25,Regular Season
,98.24,2024-25,Regular Season
LAL,98.34,2024-25,Regular Season
MEM,103.69,2024-25,Regular Season
MIA,97.08,2024-25,Regular Season
MIL,99.92,2024-25,Regular Season
MIN,97.95,2024-25,Regular Season
NOP,99.77,2024-25,Regular Season
NYK,97.64,2024-25,Regular Season
OKC,100.9,2024-25,Regular Season
ORL,96.51,2024-25,Regular Season
PHI,98.13,2024-25,Regular Season
PHX,98.31,2024-25,Regular Season
POR,99.51,2024-25,Regular Season
SAC,98.91,2024-25,Regular Season
SAS,100.08,2024-25,Regular Season
TOR,100.62,2024-25,Regular Season
UTA,100.85,2024-25,Regular Season
WAS,101.82,2024-25,Regular Season
BOS,91.68,2024-25,Playoffs
CLE,97.39,2024-25,Playoffs
DEN,96.21,2024-25,Playoffs
DET,97.92,2024-25,Playoffs
GSW,94.83,2024-25,Playoffs
HOU,93.21,2024-25,Playoffs
IND,98.52,2024-25,Playoffs
,92.06,2024-25,Playoffs
LAL,92.0,2024-25,Playoffs
MEM,102.63,2024-25,Playoffs
MIA,92.75,2024-25,Playoffs
MIL,97.47,2024-25,Playoffs
MIN,96.13,2024-25,Playoffs
NYK,95.89,2024-25,Playoffs
OKC,100.03,2024-25,Playoffs
ORL,90.4,2024-25,Playoffs
ATL,102.5,2025-26,Regular Season
BOS,95.58,2025-26,Regular Season
BKN,97.6,2025-26,Regular Season
CHA,97.59,2025-26,Regular Season
CHI,103.22,2025-26,Regular Season
CLE,100.7,2025-26,Regular Season
DAL,102.62,2025-26,Regular Season
DEN,99.49,2025-26,Regular Season
DET,99.88,2025-26,Regular Season
GSW,100.05,2025-26,Regular Season
HOU,96.98,2025-26,Regular Season
IND,101.78,2025-26,Regular Season
,97.29,2025-26,Regular Season
LAL,99.22,2025-26,Regular Season
MEM,101.69,2025-26,Regular Season
MIA,104.22,2025-26,Regular Season
MIL,98.33,2025-26,Regular Season
MIN,101.5,2025-26,Regular Season
NOP,101.37,2025-26,Regular Season
NYK,97.71,2025-26,Regular Season
OKC,100.37,2025-26,Regular Season
ORL,100.56,2025-26,Regular Season
PHI,100.39,2025-26,Regular Season
PHX,98.14,2025-26,Regular Season
POR,101.63,2025-26,Regular Season
SAC,100.12,2025-26,Regular Season
SAS,100.72,2025-26,Regular Season
TOR,99.22,2025-26,Regular Season
UTA,103.54,2025-26,Regular Season
WAS,102.49,2025-26,Regular Season
ATL,96.67,2025-26,Playoffs
BOS,93.71,2025-26,Playoffs
CLE,95.78,2025-26,Playoffs
DEN,99.33,2025-26,Playoffs
DET,94.65,2025-26,Playoffs
HOU,92.4,2025-26,Playoffs
LAL,93.53,2025-26,Playoffs
MIN,100.83,2025-26,Playoffs
NYK,96.53,2025-26,Playoffs
OKC,96.83,2025-26,Playoffs
ORL,95.57,2025-26,Playoffs
PHI,94.59,2025-26,Playoffs
PHX,96.5,2025-26,Playoffs
POR,97.1,2025-26,Playoffs
SAS,99.42,2025-26,Playoffs
TOR,97.27,2025-26,Playoffs
