TEAM_ABBR,Restricted_Area_FGM,Restricted_Area_FGA,Restricted_Area_FG_PCT,In_The_Paint_Non_RA_FGM,In_The_Paint_Non_RA_FGA,In_The_Paint_Non_RA_FG_PCT,Mid_Range_FGM,Mid_Range_FGA,Mid_Range_FG_PCT,Left_Corner_3_FGM,Left_Corner_3_FGA,Left_Corner_3_FG_PCT,Right_Corner_3_FGM,Right_Corner_3_FGA,Right_Corner_3_FG_PCT,Above_the_Break_3_FGM,Above_the_Break_3_FGA,Above_the_Break_3_FG_PCT,Backcourt_FGM,Backcourt_FGA,Backcourt_FG_PCT,SEASON,SEASON_TYPE
ATL,18.0,27.1,0.665,9.1,20.0,0.455,6.7,14.7,0.457,1.7,4.7,0.361,1.4,3.8,0.37,7.7,22.0,0.349,0.0,0.1,0.0,2022-23,Regular Season
BOS,16.5,23.9,0.689,6.7,15.0,0.447,3.0,7.3,0.413,2.0,5.0,0.396,2.0,5.0,0.413,12.0,32.4,0.369,0.0,0.1,0.0,2022-23,Regular Season
BKN,15.0,22.4,0.667,7.0,15.3,0.462,6.7,13.6,0.489,1.7,4.4,0.396,1.6,4.1,0.394,9.4,25.2,0.373,0.0,0.1,0.0,2022-23,Regular Season
CHA,19.5,30.3,0.645,7.0,18.0,0.389,4.0,9.6,0.418,1.7,5.0,0.338,1.4,3.8,0.365,7.7,23.6,0.325,0.0,0.1,0.0,2022-23,Regular Season
CHI,18.1,27.2,0.668,6.1,13.0,0.469,7.9,17.8,0.445,1.8,4.5,0.399,1.3,3.3,0.385,7.3,20.9,0.349,0.0,0.0,0.0,2022-23,Regular Season
CLE,18.5,27.0,0.686,7.9,17.6,0.447,3.6,9.0,0.398,1.4,3.9,0.363,1.5,4.2,0.372,8.6,23.4,0.369,0.0,0.1,0.0,2022-23,Regular Season
DAL,14.9,22.0,0.676,6.5,13.2,0.494,3.5,8.1,0.425,2.4,5.6,0.433,2.2,5.9,0.37,10.5,29.1,0.363,0.0,0.3,0.04,2022-23,Regular Season
DEN,20.5,29.0,0.708,7.0,15.4,0.456,4.3,10.9,0.391,1.7,4.5,0.38,1.6,3.6,0.439,8.5,22.7,0.373,0.0,0.3,0.074,2022-23,Regular Season
DET,15.7,24.4,0.643,7.6,18.3,0.413,5.0,12.0,0.413,1.7,4.5,0.369,1.7,4.4,0.375,8.0,23.2,0.345,0.0,0.2,0.0,2022-23,Regular Season
GSW,14.9,21.3,0.7,7.5,15.8,0.475,4.1,9.9,0.413,1.8,4.9,0.368,1.8,4.1,0.43,13.0,33.9,0.385,0.0,0.3,0.043,2022-23,Regular Season
