GAME_DATE,MATCHUP,WL,MIN,BLK,SEASON_TYPE,OPP,HOME,OPP_PACE,OPP_RIM_FGA,MIN_EMA_5,BLK_EMA_5,Block_Stat
2025-10-22,NYK vs. CLE,W,31,0,Regular Season,CLE,1,100.7,25.9,,,0
2025-10-24,NYK vs. BOS,W,33,1,Regular Season,BOS,1,95.58,19.0,31.0,0.0,1
2025-10-26,NYK @ MIA,L,36,2,Regular Season,MIA,0,104.22,26.9,31.666666666666668,0.3333333333333333,1
2025-10-28,NYK @ MIL,L,35,1,Regular Season,MIL,0,98.33,21.8,33.111111111111114,0.8888888888888888,1
2025-10-31,NYK @ CHI,L,32,1,Regular Season,CHI,0,103.22,31.9,33.74074074074075,0.9259259259259259,1
2025-11-02,NYK vs. CHI,W,36,2,Regular Season,CHI,1,103.22,31.9,33.1604938271605,0.9506172839506173,1
2025-11-03,NYK vs. WAS,W,30,0,Regular Season,WAS,1,102.49,24.7,34.10699588477367,1.300411522633745,0
2025-11-05,NYK vs. MIN,W,31,2,Regular Season,MIN,1,101.5,26.1,32.73799725651578,0.8669410150891634,1
2025-11-09,NYK vs. BKN,W,28,0,Regular Season,BKN,1,97.6,24.8,32.15866483767719,1.2446273433927757,0
2025-11-11,NYK vs. MEM,W,32,2,Regular Season,MEM,1,101.69,22.9,30.77244322511813,0.8297515622618505,1
2025-11-12,NYK vs. ORL,L,35,0,Regular Season,ORL,1,100.56,27.6,31.181628816745423,1.2198343748412337,0
2025-11-14,NYK vs. MIA,W,38,0,Regular Season,MIA,1,104.22,26.9,32.45441921116362,0.8132229165608226,0
2025-11-17,NYK @ MIA,L,33,1,Regular Season,MIA,0,104.22,26.9,34.302946140775745,0.5421486110405485,1
2025-11-19,NYK @ DAL,W,35,0,Regular Season,DAL,0,102.62,25.9,33.86863076051716,0.694765740693699,0
2025-11-22,NYK @ ORL,L,37,0,Regular Season,ORL,0,100.56,27.6,34.245753840344776,0.46317716046246604,0
2025-11-24,NYK @ BKN,W,33,2,Regular Season,BKN,0,97.6,24.8,35.16383589356319,0.3087847736416441,1
2025-11-26,NYK @ CHA,W,32,0,Regular Season,CHA,0,97.59,23.2,34.44255726237546,0.8725231824277627,0
2025-11-28,NYK vs. MIL,W,36,1,Regular Season,MIL,1,98.33,21.8,33.62837150825031,0.5816821216185085,1
2025-11-30,NYK vs. TOR,W,31,0,Regular Season,TOR,1,99.22,26.7,34.418914338833545,0.721121414412339,0
2025-12-02,NYK @ BOS,L,33,1,Regular Season,BOS,0,95.58,19.0,33.279276225889035,0.48074760960822605,1
2025-12-03,NYK vs. CHA,W,39,0,Regular Season,CHA,1,97.59,23.2,33.186184150592695,0.6538317397388174,0
2025-12-05,NYK vs. UTA,W,22,0,Regular Season,UTA,1,103.54,23.5,35.1241227670618,0.435887826492545,0
2025-12-09,NYK @ TOR,W,31,2,Regular Season,TOR,0,99.22,26.7,30.7494151780412,0.29059188432836336,1
2025-12-13,NYK @ ORL,W,37,1,Regular Season,ORL,0,100.56,27.6,30.832943452027468,0.8603945895522422,1
2025-12-19,NYK vs. PHI,L,35,0,Regular Season,PHI,1,100.39,28.7,32.88862896801831,0.9069297263681615,0
2025-12-21,NYK vs. MIA,W,29,0,Regular Season,MIA,1,104.22,26.9,33.59241931201221,0.6046198175787744,0
2025-12-23,NYK @ MIN,L,35,0,Regular Season,MIN,0,101.5,26.1,32.06161287467481,0.40307987838584963,0
2025-12-25,NYK vs. CLE,W,27,0,Regular Season,CLE,1,100.7,25.9,33.041075249783205,0.2687199189238998,0
2025-12-27,NYK @ ATL,W,30,0,Regular Season,ATL,0,102.5,26.5,31.02738349985547,0.1791466126159332,0
2025-12-29,NYK @ NOP,W,30,2,Regular Season,NOP,0,101.37,34.8,30.684922333236983,0.11943107507728881,1
2025-12-31,NYK @ SAS,L,33,0,Regular Season,SAS,0,100.72,28.0,30.456614888824657,0.7462873833848592,0
2026-01-03,NYK vs. PHI,L,34,0,Regular Season,PHI,1,100.39,28.7,31.304409925883107,0.49752492225657285,0
2026-01-05,NYK @ DET,L,23,0,Regular Season,DET,0,99.88,30.4,32.202939950588735,0.3316832815043819,0
2026-01-07,NYK vs. LAC,W,31,1,Regular Season,LAC,1,97.29,22.5,29.135293300392494,0.22112218766958797,1
2026-01-09,NYK @ PHX,L,33,0,Regular Season,PHX,0,98.14,21.1,29.756862200261665,0.48074812511305864,0
2026-01-11,NYK @ POR,W,28,2,Regular Season,POR,0,101.63,28.6,30.837908133507778,0.3204987500753725,1
2026-01-14,NYK @ SAC,L,33,0,Regular Season,SAC,0,100.12,20.1,29.891938755671852,0.8803325000502483,0
2026-01-15,NYK @ GSW,L,31,1,Regular Season,GSW,0,100.05,22.8,30.927959170447902,0.5868883333668323,1
2026-01-17,NYK vs. PHX,L,35,1,Regular Season,PHX,1,98.14,21.1,30.951972780298604,0.7245922222445549,1
2026-01-19,NYK vs. DAL,L,30,1,Regular Season,DAL,1,102.62,25.9,32.301315186865736,0.8163948148297033,1
2026-01-21,NYK vs. BKN,W,20,0,Regular Season,BKN,1,97.6,24.8,31.53421012457716,0.8775965432198023,0
2026-01-24,NYK @ PHI,W,16,1,Regular Season,PHI,0,100.39,28.7,27.689473416384775,0.5850643621465349,1
2026-01-27,NYK vs. SAC,W,27,0,Regular Season,SAC,1,100.12,20.1,23.79298227758985,0.7233762414310233,0
2026-01-28,NYK @ TOR,W,35,1,Regular Season,TOR,0,99.22,26.7,24.8619881850599,0.4822508276206823,1
2026-01-30,NYK vs. POR,W,29,1,Regular Season,POR,1,101.63,28.6,28.2413254567066,0.6548338850804548,1
2026-02-01,NYK vs. LAL,W,32,0,Regular Season,LAL,1,99.22,22.4,28.494216971137735,0.7698892567203033,0
2026-02-03,NYK @ WAS,W,26,0,Regular Season,WAS,0,102.49,24.7,29.662811314091826,0.5132595044802023,0
2026-02-04,NYK vs. DEN,W,31,0,Regular Season,DEN,1,99.49,23.6,28.441874209394552,0.3421730029868016,0
2026-02-08,NYK @ BOS,W,29,0,Regular Season,BOS,0,95.58,19.0,29.294582806263037,0.22811533532453443,0
2026-02-10,NYK vs. IND,L,32,0,Regular Season,IND,1,101.78,24.1,29.196388537508692,0.15207689021635631,0
2026-02-11,NYK @ PHI,W,26,1,Regular Season,PHI,0,100.39,28.7,30.130925691672463,0.10138459347757088,1
2026-02-19,NYK vs. DET,L,31,0,Regular Season,DET,1,99.88,30.4,28.753950461114975,0.4009230623183806,0
2026-02-21,NYK vs. HOU,W,34,0,Regular Season,HOU,1,96.98,24.5,29.50263364074332,0.2672820415455871,0
2026-02-22,NYK @ CHI,W,32,0,Regular Season,CHI,0,103.22,31.9,31.00175576049555,0.17818802769705808,0
2026-02-24,NYK @ CLE,L,29,2,Regular Season,CLE,0,100.7,25.9,31.334503840330367,0.1187920184647054,1
2026-02-27,NYK @ MIL,W,29,0,Regular Season,MIL,0,98.33,21.8,30.55633589355358,0.7458613456431369,0
2026-03-01,NYK vs. SAS,W,28,0,Regular Season,SAS,1,100.72,28.0,30.037557262369056,0.4972408970954246,0
2026-03-03,NYK @ TOR,W,29,1,Regular Season,TOR,0,99.22,26.7,29.358371508246037,0.33149393139694977,1
2026-03-04,NYK vs. OKC,L,33,0,Regular Season,OKC,1,100.37,24.9,29.238914338830693,0.5543292875979665,0
2026-03-06,NYK @ DEN,W,27,0,Regular Season,DEN,0,99.49,23.6,30.492609559220465,0.3695528583986444,0
2026-03-08,NYK @ LAL,L,34,1,Regular Season,LAL,0,99.22,22.4,29.328406372813646,0.24636857226576295,1
2026-03-09,NYK @ LAC,L,36,1,Regular Season,LAC,0,97.29,22.5,30.885604248542432,0.4975790481771753,1
2026-03-11,NYK @ UTA,W,30,0,Regular Season,UTA,0,103.54,23.5,32.590402832361626,0.6650526987847836,0
2026-03-15,NYK vs. GSW,W,31,1,Regular Season,GSW,1,100.05,22.8,31.72693522157442,0.44336846585652245,1
2026-03-17,NYK vs. IND,W,32,1,Regular Season,IND,1,101.78,24.1,31.484623481049614,0.6289123105710149,1
2026-03-20,NYK @ BKN,W,29,0,Regular Season,BKN,0,97.6,24.8,31.656415654033076,0.7526082070473433,0
2026-03-22,NYK vs. WAS,W,26,0,Regular Season,WAS,1,102.49,24.7,30.770943769355384,0.501738804698229,0
