TEAM_ABBR,RA_FGA,SEASON,SEASON_TYPE
ATL,27.1,2022-23,Regular Season
BOS,23.9,2022-23,Regular Season
BKN,22.4,2022-23,Regular Season
CHA,30.3,2022-23,Regular Season
CHI,27.2,2022-23,Regular Season
CLE,27.0,2022-23,Regular Season
DAL,22.0,2022-23,Regular Season
DEN,29.0,2022-23,Regular Season
DET,24.4,2022-23,Regular Season
GSW,21.3,2022-23,Regular Season
HOU,30.1,2022-23,Regular Season
IND,29.1,2022-23,Regular Season
,24.0,2022-23,Regular Season
LAL,29.7,2022-23,Regular Season
MEM,29.6,2022-23,Regular Season
MIA,21.2,2022-23,Regular Season
MIL,25.1,2022-23,Regular Season
MIN,29.2,2022-23,Regular Season
NOP,28.0,2022-23,Regular Season
NYK,27.3,2022-23,Regular Season
OKC,31.0,2022-23,Regular Season
ORL,27.0,2022-23,Regular Season
PHI,25.5,2022-23,Regular Season
PHX,20.8,2022-23,Regular Season
POR,28.6,2022-23,Regular Season
SAC,26.6,2022-23,Regular Season
SAS,29.0,2022-23,Regular Season
TOR,26.8,2022-23,Regular Season
UTA,25.0,2022-23,Regular Season
WAS,24.0,2022-23,Regular Season
ATL,24.3,2022-23,Playoffs
BOS,23.4,2022-23,Playoffs
BKN,18.5,2022-23,Playoffs
CLE,22.4,2022-23,Playoffs
DEN,22.6,2022-23,Playoffs
GSW,21.5,2022-23,Playoffs
,24.4,2022-23,Playoffs
LAL,23.1,2022-23,Playoffs
MEM,27.5,2022-23,Playoffs
MIA,22.0,2022-23,Playoffs
MIL,23.2,2022-23,Playoffs
MIN,25.8,2022-23,Playoffs
NYK,23.3,2022-23,Playoffs
PHI,21.5,2022-23,Playoffs
PHX,14.8,2022-23,Playoffs
SAC,19.9,2022-23,Playoffs
ATL,27.1,2023-24,Regular Season
BOS,24.1,2023-24,Regular Season
BKN,26.2,2023-24,Regular Season
CHA,26.4,2023-24,Regular Season
CHI,27.3,2023-24,Regular Season
CLE,27.4,2023-24,Regular Season
DAL,23.6,2023-24,Regular Season
DEN,28.6,2023-24,Regular Season
